station_code,lon,lat
G330503,120.086823,30.894348
G330504,120.07,30.8244
G430301,112.92,27.816944
G430302,112.8956886,27.8576411
G430303,113.021728,27.961788
G430304,112.955556,27.861111
G430305,112.918333,27.8575
G430306,112.9075,27.911667
G430307,112.526502,27.915005
G433101,109.6956503,28.2674718
G433102,109.7341496,28.3152255
G433103,109.6414626,28.2555805
G440801,110.45,21.25
G440802,110.392778,21.222778
G440803,110.361944,21.270555
G440804,110.401944,21.199722
G440805,110.411111,21.202778
G440806,110.331556,21.267917
G320407,119.4526,31.3949
G320408,119.4329,31.3117
G341101,118.3244,32.2786
G341102,118.3158,32.3061
G341103,118.3094,32.3153
G371601,117.9830556,37.38305556
G371602,118.0208333,37.37944444
G371603,117.9966667,37.36083333
G411101,114.056,33.567
G411102,114.0322,33.5653
G411103,114.014,33.56527778
G411104,114.005,33.568
G350601,117.6336,24.4674
G350602,117.6569,24.5157
G350603,117.725264,24.505651
G370703,119.125375,36.70365555
G370704,119.1637121,36.65166408
G370705,119.1050086,36.7314733
G370706,119.162,36.648
G370707,119.1938889,36.77305556
G370708,119.085,36.72
G370709,119.1433186,36.70211
G445101,116.6175,23.6531
G445102,116.6447,23.6706
G445103,116.633889,23.671389
G410901,115.0772222,35.767
G410902,115.0627778,35.76722222
G410903,115.031,35.763
G410904,115.029216,35.761829
